Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.2188,0.4589,0.1433,0.3735,0.9526
1,0.1941,0.5693,0.1184,0.4262,0.9619
2,0.2038,0.5418,0.1295,0.4305,0.9659
3,0.1469,0.6037,0.1155,0.4879,0.9671
4,0.154,0.5698,0.1114,0.5426,0.9708
5,0.136,0.597,0.1127,0.5512,0.9704
6,0.1559,0.5671,0.1116,0.5498,0.9726
7,0.1678,0.5498,0.1097,0.5362,0.9725
8,0.1451,0.5549,0.1095,0.5231,0.9733
9,0.1547,0.5724,0.1092,0.5871,0.9736
10,0.1413,0.5725,0.1107,0.6086,0.9748
11,0.1322,0.5941,0.11,0.5367,0.9752
12,0.1588,0.5877,0.111,0.5909,0.9763
13,0.144,0.5917,0.1096,0.5764,0.9765
14,0.1631,0.5749,0.1093,0.5659,0.9751
15,0.163,0.6159,0.1106,0.556,0.9763
16,0.1325,0.5788,0.1117,0.5801,0.9756
17,0.1601,0.5737,0.1102,0.5766,0.9762
18,0.1529,0.6008,0.1096,0.5681,0.9776
19,0.1443,0.641,0.1114,0.541,0.9708
20,0.1464,0.5925,0.11,0.5691,0.9747
21,0.1478,0.565,0.1102,0.5665,0.9746
22,0.1454,0.5888,0.1103,0.5821,0.9748
23,0.1454,0.6069,0.11,0.5844,0.9768
24,0.1433,0.6195,0.1121,0.5603,0.9768
25,0.1456,0.6353,0.1107,0.5529,0.9721
26,0.1542,0.6163,0.1122,0.5672,0.9765
27,0.1468,0.6247,0.11,0.5691,0.9785
28,0.1585,0.6349,0.1106,0.5572,0.9752
29,0.1563,0.6429,0.1128,0.573,0.9771
30,0.1397,0.6402,0.1097,0.5715,0.9766
31,0.1441,0.6294,0.11,0.5913,0.9783
32,0.1608,0.6229,0.1133,0.5606,0.9776
33,0.1516,0.6622,0.1105,0.5888,0.9774
34,0.1331,0.6495,0.1109,0.5681,0.9752
35,0.1427,0.628,0.1119,0.5604,0.9747
36,0.1576,0.6324,0.1113,0.5754,0.9772
37,0.1599,0.6425,0.1108,0.5712,0.9759
38,0.1486,0.6526,0.1099,0.5637,0.9775
39,0.1585,0.6544,0.1118,0.5755,0.9751
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9785,at Epoch,27
