Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.5666,0.4606,0.1871,0.3597,0.9484
1,0.4874,0.4808,0.2249,0.4135,0.958
2,0.4178,0.4477,0.2915,0.5029,0.9654
3,0.4037,0.4724,0.416,0.621,0.9697
4,0.3997,0.4957,0.4534,0.6217,0.9697
5,0.4099,0.5018,0.5046,0.6243,0.9712
6,0.4343,0.513,0.4969,0.6208,0.9718
7,0.4653,0.5257,0.4561,0.6145,0.9721
8,0.4495,0.5105,0.5256,0.6215,0.9697
9,0.4331,0.5048,0.5323,0.6207,0.9701
10,0.4682,0.5195,0.4955,0.6217,0.9725
11,0.4417,0.5185,0.5251,0.6099,0.974
12,0.4837,0.5393,0.5118,0.6157,0.9742
13,0.4459,0.5325,0.4977,0.6035,0.973
14,0.4965,0.5022,0.4962,0.6147,0.971
15,0.5313,0.5308,0.4867,0.6149,0.9731
16,0.4957,0.5531,0.5045,0.6007,0.973
17,0.5079,0.508,0.5166,0.6223,0.9755
18,0.505,0.5494,0.4946,0.6268,0.976
19,0.5181,0.5549,0.4975,0.6363,0.9751
20,0.515,0.5629,0.5261,0.6133,0.9729
21,0.5068,0.5545,0.5023,0.6385,0.9717
22,0.505,0.5786,0.4862,0.6223,0.9726
23,0.5203,0.5685,0.5136,0.6414,0.9703
24,0.5242,0.579,0.4818,0.6203,0.973
25,0.5325,0.5772,0.4817,0.6098,0.9709
26,0.5215,0.58,0.4905,0.6037,0.9732
27,0.5345,0.5834,0.4647,0.6145,0.9741
28,0.5192,0.5836,0.4926,0.607,0.9747
29,0.5175,0.6011,0.5397,0.6139,0.9738
30,0.5317,0.611,0.4777,0.6154,0.9742
31,0.5201,0.5823,0.4833,0.6155,0.9744
32,0.5269,0.5825,0.4946,0.6266,0.9714
33,0.5262,0.6012,0.4785,0.6197,0.9749
34,0.5342,0.5877,0.4799,0.6231,0.9715
35,0.5267,0.5802,0.5026,0.6165,0.9719
36,0.5262,0.6075,0.4855,0.6173,0.9752
37,0.511,0.6038,0.5044,0.6234,0.974
38,0.476,0.5962,0.4923,0.6037,0.9705
39,0.5101,0.5989,0.47,0.6008,0.9727
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.976,at Epoch,18
