NN1:,0.1971
NN1p:,0.4927
NN2:,0.4299
NN2p:,0.7509
Para:,0.9768

Number of evaluation data: ,10000
Total number of correct results:,9768
Number of results when both subnetworks are right:,2687
Number of results when only network1 is wrong:,4785
Number of results when only network2 is wrong:,2190
Number of results when both subnetworks are wrong but the combined network is right:,106

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
9,3,8
4,0,3
5,0,8
9,3,8
7,3,8
7,9,8
9,3,8
9,3,8
2,7,8
9,3,8
2,3,8
2,3,8
2,0,3
4,0,8
4,0,8
7,9,8
2,0,3
9,3,8
7,9,3
2,0,8
9,3,8
1,0,8
2,0,8
6,3,5
7,9,0
4,9,8
7,9,5
6,8,0
9,3,8
1,0,8
5,3,8
2,0,8
9,3,8
2,3,8
9,3,8
2,3,3
2,3,0
5,3,6
9,3,4
2,8,0
2,3,3
6,8,5
2,3,8
9,7,8
2,0,8
2,0,8
4,3,8
2,3,8
1,0,8
2,3,8
2,0,8
2,3,8
2,3,8
4,3,8
2,3,8
2,0,8
2,0,8
2,0,3
9,3,8
9,3,4
1,8,3
7,9,8
2,0,8
9,3,8
9,3,8
9,3,8
9,3,8
2,0,8
5,3,8
5,3,3
7,9,8
7,3,0
0,3,6
2,3,8
9,3,8
2,0,8
2,0,3
0,3,8
2,0,3
2,3,8
2,3,8
2,0,8
9,3,3
2,0,8
2,0,8
2,3,8
9,3,8
0,3,8
2,0,8
4,0,8
7,9,8
0,3,8
9,3,4
9,3,8
9,3,8
6,8,0
9,3,8
9,3,8
9,3,8
9,3,8
1,8,8
7,9,5
2,3,8
4,8,8
1,8,8
9,7,5
