Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.6216,0.6252,0.3729,0.4024,0.9261
1,0.6162,0.6105,0.4223,0.491,0.947
2,0.6361,0.6299,0.4076,0.44,0.957
3,0.6825,0.6587,0.4315,0.5093,0.9638
4,0.6707,0.6481,0.4346,0.5014,0.9671
5,0.6317,0.6419,0.4143,0.4781,0.968
6,0.6885,0.6799,0.4533,0.5196,0.9711
7,0.696,0.688,0.4571,0.5026,0.9732
8,0.6898,0.6774,0.4605,0.4994,0.9731
9,0.6923,0.6735,0.4564,0.514,0.9759
10,0.6977,0.6841,0.464,0.5159,0.9739
11,0.6821,0.6586,0.5014,0.5372,0.9762
12,0.682,0.6733,0.4685,0.5097,0.9762
13,0.69,0.6703,0.4401,0.4837,0.9742
14,0.7104,0.6981,0.5223,0.547,0.9757
15,0.6837,0.6739,0.5193,0.5122,0.9756
16,0.6765,0.6649,0.4885,0.5052,0.9747
17,0.7048,0.6883,0.5366,0.5358,0.9781
18,0.711,0.6927,0.4974,0.5278,0.9753
19,0.693,0.6803,0.5118,0.5167,0.9774
20,0.6917,0.6727,0.4893,0.4979,0.9778
21,0.6993,0.6859,0.5067,0.4904,0.9783
22,0.7017,0.697,0.5006,0.514,0.977
23,0.6985,0.6853,0.4912,0.4696,0.9776
24,0.7008,0.6861,0.4898,0.5127,0.9776
25,0.6872,0.6688,0.4964,0.4938,0.9776
26,0.6889,0.6741,0.4685,0.5032,0.9758
27,0.6918,0.6705,0.5106,0.4856,0.9776
28,0.6757,0.6628,0.4969,0.468,0.9766
29,0.7002,0.6762,0.5094,0.5049,0.9787
30,0.6868,0.669,0.4939,0.4971,0.9783
31,0.6921,0.6708,0.5322,0.5249,0.9782
32,0.6894,0.681,0.4942,0.4925,0.9779
33,0.6938,0.6764,0.4866,0.4829,0.9773
34,0.7004,0.6718,0.4977,0.4906,0.9786
35,0.6828,0.6598,0.5337,0.5339,0.9796
36,0.6989,0.6819,0.5149,0.4986,0.9793
37,0.7051,0.6805,0.5052,0.4931,0.98
38,0.6915,0.6756,0.4859,0.4657,0.9783
39,0.7015,0.6864,0.5025,0.4759,0.9788
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.98,at Epoch,37
