NN1:,0.6037
NN1p:,0.5855
NN2:,0.7588
NN2p:,0.7492
Para:,0.98

Number of evaluation data: ,10000
Total number of correct results:,9800
Number of results when both subnetworks are right:,4064
Number of results when only network1 is wrong:,3393
Number of results when only network2 is wrong:,1736
Number of results when both subnetworks are wrong but the combined network is right:,607

Detailed results when both subnetworks are wrong:,
Parallel network,Network 1,Network 2
6,5,2
3,2,8
7,2,1
7,2,9
6,5,2
6,5,2
7,2,1
9,2,3
6,5,2
4,3,1
4,9,2
7,2,9
3,2,8
6,5,2
8,2,1
6,5,2
6,5,2
7,2,9
6,5,8
3,2,8
6,5,2
8,2,1
6,5,8
9,0,7
7,0,9
6,5,2
7,2,1
6,5,2
6,5,2
6,5,2
8,5,1
3,2,9
7,0,1
6,5,2
9,0,7
6,5,8
6,5,8
9,0,7
7,2,1
3,2,1
9,0,7
6,5,2
6,5,8
6,5,8
7,2,1
6,5,8
6,5,8
6,9,2
8,2,1
6,5,2
3,5,8
7,2,1
7,2,9
6,5,2
7,2,1
7,2,1
6,5,2
6,5,2
4,9,1
6,5,2
4,9,1
6,5,2
7,2,9
6,5,2
6,5,2
7,2,1
7,0,5
6,5,2
7,2,1
7,2,8
7,2,1
7,2,1
6,9,2
7,2,1
7,2,1
3,2,9
7,2,1
3,2,8
6,9,1
4,9,7
7,2,1
7,2,9
6,9,2
7,2,9
6,5,2
9,8,1
3,2,5
6,5,2
7,2,1
7,2,1
7,2,1
4,5,2
3,2,9
7,2,1
6,5,8
6,5,2
6,5,2
4,8,1
6,5,2
6,5,2
7,2,1
3,2,9
6,5,2
6,5,2
3,2,8
6,5,2
6,5,2
6,5,2
6,5,8
7,2,9
6,5,2
6,5,2
8,5,1
7,2,1
7,2,1
9,0,7
7,2,1
6,5,2
7,2,9
6,5,2
7,2,9
6,5,2
6,5,2
7,2,9
7,2,9
2,0,8
6,5,3
3,2,9
6,5,2
6,5,2
3,2,8
6,5,2
6,9,2
6,5,8
7,2,1
7,2,1
8,5,1
4,8,1
6,9,2
9,8,7
6,5,2
7,2,1
7,2,9
6,5,2
6,5,2
8,9,1
4,9,1
6,5,2
6,5,2
3,5,8
6,5,2
6,5,2
4,5,1
6,5,2
3,2,8
4,9,7
7,2,1
3,2,9
7,2,9
7,2,1
7,2,1
6,5,2
7,2,1
6,5,2
6,9,2
6,5,2
4,9,7
6,5,2
2,9,1
6,5,2
7,2,1
7,2,1
7,2,1
7,2,1
7,2,9
7,2,1
6,5,2
6,5,2
6,9,2
7,2,1
7,2,1
6,5,2
6,5,8
7,2,9
7,2,1
6,5,2
6,5,2
7,2,1
7,2,9
3,2,8
6,5,2
7,2,1
6,5,8
6,5,2
7,2,1
8,2,3
7,2,1
7,2,1
6,5,2
7,2,1
1,5,8
7,2,8
6,5,2
2,0,1
6,5,2
4,9,1
9,0,3
6,5,2
3,2,9
8,2,1
7,2,1
6,5,2
7,2,1
7,2,1
6,5,2
9,5,1
6,5,0
6,5,8
6,5,2
6,5,2
6,5,2
7,2,9
6,9,2
6,5,2
6,5,2
7,2,9
7,2,1
8,2,1
9,5,1
6,5,2
7,2,9
6,5,2
4,9,1
7,2,1
6,5,2
3,2,8
3,2,5
6,5,2
7,2,1
6,5,2
9,2,1
7,2,1
9,0,7
6,5,2
6,5,2
6,5,2
6,5,0
9,0,7
6,5,2
7,2,9
6,5,8
6,5,2
7,2,9
4,0,1
6,5,2
6,5,2
6,5,2
4,9,2
6,9,2
7,2,1
7,2,1
8,2,1
6,0,0
9,5,1
7,2,1
6,5,2
7,2,1
6,5,2
7,2,9
7,2,9
7,2,1
7,2,4
6,5,2
6,5,2
7,2,1
6,5,8
6,5,2
8,2,1
7,2,1
8,2,3
6,5,2
7,2,9
1,5,8
6,5,2
6,5,2
6,5,2
7,2,9
4,5,1
6,5,2
6,5,2
6,9,4
3,2,9
4,5,1
1,5,8
7,2,1
6,5,2
6,5,2
7,2,1
8,2,1
3,2,8
6,9,2
6,5,2
1,5,8
6,5,2
3,2,8
6,9,2
7,2,1
4,9,1
6,5,2
8,2,1
7,2,1
8,2,1
6,5,2
3,2,9
7,2,1
3,2,8
3,2,7
4,9,1
6,5,2
4,9,2
6,5,2
3,2,9
3,2,8
4,8,1
7,2,9
7,2,1
8,9,1
6,5,2
6,9,2
6,5,2
8,2,1
8,2,2
7,2,9
6,9,2
3,2,8
3,2,8
6,9,2
6,5,2
6,5,2
7,2,1
6,5,8
7,2,1
7,2,9
6,5,2
6,5,2
6,5,2
4,9,2
7,2,1
6,5,2
7,2,9
7,2,9
8,9,1
8,0,7
6,5,2
6,5,2
3,2,9
8,5,1
6,5,8
7,2,1
6,9,2
4,9,7
6,5,2
7,2,1
8,5,1
7,2,9
7,2,1
7,2,1
6,5,2
6,5,1
