Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.7038,0.4952,0.1538,0.2777,0.939
1,0.7193,0.5971,0.3587,0.3259,0.9526
2,0.6803,0.5784,0.3726,0.3448,0.9575
3,0.6858,0.5811,0.3794,0.361,0.9619
4,0.7006,0.5653,0.3747,0.3561,0.9645
5,0.7239,0.6206,0.38,0.365,0.9665
6,0.7857,0.5702,0.3735,0.358,0.959
7,0.7786,0.5354,0.3991,0.3652,0.9666
8,0.7618,0.5887,0.4018,0.3814,0.9681
9,0.7713,0.5549,0.3997,0.3776,0.9701
10,0.7865,0.5735,0.4061,0.3713,0.9693
11,0.7654,0.5777,0.4019,0.3794,0.9712
12,0.7349,0.5881,0.403,0.3757,0.9698
13,0.6278,0.5916,0.4063,0.3757,0.9713
14,0.6375,0.5365,0.4105,0.3732,0.972
15,0.6983,0.4783,0.4153,0.3813,0.9707
16,0.7221,0.5874,0.4048,0.3779,0.9718
17,0.6872,0.5053,0.4057,0.3835,0.9717
18,0.6745,0.5343,0.4096,0.3803,0.9718
19,0.7083,0.5248,0.4088,0.3807,0.9738
20,0.6316,0.543,0.4088,0.3801,0.9734
21,0.7246,0.5317,0.4173,0.3801,0.9714
22,0.6211,0.556,0.396,0.3731,0.9705
23,0.6323,0.5451,0.4052,0.3735,0.97
24,0.7027,0.5187,0.4074,0.3745,0.9708
25,0.6952,0.5439,0.4036,0.3743,0.9711
26,0.6722,0.5775,0.4079,0.3771,0.97
27,0.6354,0.651,0.4153,0.3778,0.9722
28,0.6962,0.5314,0.4249,0.3826,0.9731
29,0.6994,0.5521,0.4327,0.3789,0.9739
30,0.6741,0.5508,0.4124,0.3795,0.9741
31,0.626,0.6273,0.4001,0.3698,0.9695
32,0.6416,0.5389,0.423,0.382,0.9746
33,0.6474,0.5557,0.4159,0.3777,0.9725
34,0.705,0.5181,0.4277,0.3818,0.9765
35,0.6201,0.5238,0.428,0.3787,0.9738
36,0.6393,0.5457,0.4253,0.3815,0.9736
37,0.6494,0.5537,0.4179,0.3785,0.975
38,0.6716,0.5483,0.4268,0.3816,0.9728
39,0.6623,0.5404,0.4225,0.3802,0.9713
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9765,at Epoch,34
