epoch,train_accuracy,val_accuracy
1,0.4962,0.2786
2,0.6406,0.5906
3,0.709,0.6384
4,0.7507,0.6752
5,0.7867,0.7444
6,0.814,0.7244
7,0.8394,0.7374
8,0.8623,0.7126
9,0.8801,0.7376
10,0.8953,0.7824
11,0.91,0.7754
12,0.9226,0.743
13,0.9286,0.7212
14,0.9344,0.731
15,0.9389,0.7744
16,0.9668,0.7938
17,0.9764,0.8022
18,0.9802,0.7928
19,0.9819,0.7936
20,0.9831,0.7972
21,0.9828,0.7844
22,0.9823,0.7828
23,0.9881,0.8092
24,0.9909,0.803
25,0.9923,0.8102
26,0.9929,0.8076
27,0.9934,0.7976
28,0.9938,0.8078
29,0.9938,0.806
30,0.9936,0.8026
31,0.9948,0.8142
32,0.9954,0.8146
33,0.9961,0.8096
34,0.9963,0.806
35,0.9967,0.8098
36,0.9963,0.811
37,0.9962,0.8058
38,0.9973,0.8134
39,0.9976,0.8142
40,0.9974,0.816
41,0.9976,0.8102
42,0.9974,0.8168
43,0.9974,0.8148
44,0.9972,0.812
45,0.998,0.815
46,0.998,0.8166
47,0.9981,0.8124
48,0.9983,0.8156
49,0.9983,0.8144
50,0.9984,0.8148

test_loss,test_accuracy
1.4343,0.7966
