Accuracy on the validation data,0.793

Number of Type I results,52
Number of Type II results,487
Number of Type III results,386
Number of Type IV results,7005

Ratio of Type IV results to correct results,0.8833543505674654

Details of Type IV results
Input index,rp,r1,r2
0,3,0,1
1,8,4,2
2,8,4,2
3,0,7,6
4,6,0,4
5,6,1,1
6,1,2,7
7,6,4,3
8,3,1,9
9,1,6,8
10,0,5,7
11,9,5,7
12,5,7,0
13,7,1,6
14,9,2,7
16,5,9,7
17,7,4,0
19,6,8,4
20,7,9,6
21,0,5,9
22,4,1,5
25,2,1,9
26,4,5,6
27,0,4,7
29,6,5,0
30,6,0,4
31,5,0,7
32,4,1,5
33,5,1,4
34,9,4,7
38,9,4,1
39,5,3,7
41,6,4,4
42,5,1,1
43,6,3,4
44,0,4,1
45,9,5,7
46,3,7,0
47,9,7,7
48,7,1,6
49,6,1,4
50,9,4,2
51,8,3,7
53,3,0,9
54,8,4,0
55,8,4,7
56,7,1,6
60,7,1,8
61,3,0,1
62,6,7,1
63,3,0,6
64,6,1,4
66,1,6,4
67,2,5,1
68,3,5,9
69,7,4,1
71,6,0,4
73,8,4,2
74,0,4,9
75,2,9,6
77,3,5,9
78,3,1,7
80,8,4,4
82,1,6,6
83,7,4,6
84,2,5,9
86,2,1,6
88,8,4,9
89,9,4,2
90,0,6,7
92,8,3,2
93,6,1,4
95,6,4,4
96,6,4,0
97,0,7,9
98,0,1,1
99,7,6,2
101,5,1,1
102,6,1,4
103,3,0,9
104,1,6,7
105,1,6,0
107,6,4,4
108,8,6,9
109,7,1,0
112,6,4,0
113,2,5,7
114,1,6,8
115,3,1,7
116,0,5,7
117,4,0,3
118,2,1,4
120,8,5,4
121,3,7,6
122,1,6,7
123,2,5,1
124,8,4,4
126,8,4,6
127,3,1,7
128,5,1,7
129,2,0,4
130,4,1,6
131,1,6,8
132,8,4,2
134,1,8,9
135,2,4,9
136,9,4,1
137,7,1,0
140,6,8,4
141,5,9,6
142,6,1,1
143,3,4,0
144,8,1,0
145,7,1,9
146,6,1,4
148,5,1,0
149,2,5,0
152,6,3,9
153,0,6,4
154,0,1,9
155,5,9,4
156,2,5,4
157,9,4,7
159,4,5,6
160,2,7,6
161,1,6,7
163,6,4,3
165,4,1,6
166,8,4,0
167,4,3,5
172,9,6,7
173,8,3,7
174,9,2,7
176,3,7,7
177,7,1,3
178,5,1,6
179,0,1,9
180,0,7,7
181,5,9,0
182,2,4,8
183,2,5,9
185,8,3,4
186,6,4,4
187,3,5,4
191,8,4,1
192,0,1,7
194,7,5,1
195,2,7,6
196,8,4,1
197,8,7,0
199,8,7,0
200,5,1,7
201,1,6,7
204,1,5,8
205,3,5,7
206,0,4,9
207,5,4,0
208,7,1,6
209,9,4,7
211,4,2,8
213,9,4,1
214,8,4,0
215,0,9,7
216,7,4,6
217,9,5,2
218,8,5,4
219,2,5,6
220,7,4,8
221,6,0,4
224,3,0,4
225,9,4,7
229,6,8,0
230,5,7,0
231,1,2,7
232,5,8,4
234,8,4,2
235,0,5,7
237,0,1,9
238,5,1,9
239,5,1,0
240,1,6,8
241,1,2,7
242,8,7,4
243,9,2,0
244,0,1,9
245,3,1,7
246,1,6,9
248,2,8,4
250,5,1,0
251,3,7,0
253,9,1,7
255,0,7,7
257,0,4,4
264,0,5,9
265,8,4,9
266,2,4,0
267,4,0,8
268,7,4,0
270,2,1,6
272,6,4,4
274,8,4,4
276,0,4,6
277,3,7,6
278,4,5,1
282,6,1,4
283,1,6,8
285,9,6,1
286,1,6,8
288,7,4,0
289,9,4,2
290,1,6,6
291,2,9,6
292,6,0,4
294,3,4,1
295,4,5,5
296,6,3,4
297,0,7,6
298,0,5,7
299,6,4,4
300,6,4,4
301,6,8,4
303,2,3,9
304,6,0,1
305,1,6,2
307,2,5,6
308,1,6,8
311,6,4,4
312,8,5,9
314,4,1,8
316,7,5,6
317,7,4,5
318,5,1,7
319,5,1,7
320,3,7,7
322,2,4,4
325,1,8,8
326,7,1,0
327,5,1,4
328,4,2,1
329,6,7,4
331,9,5,2
333,6,1,4
334,6,4,4
335,9,2,5
336,3,7,1
338,0,4,6
339,7,4,6
341,6,1,0
342,2,5,9
343,5,8,0
345,5,8,9
346,4,1,6
347,6,7,4
348,8,4,4
350,9,2,7
351,1,4,8
353,2,5,1
354,2,0,6
