epoch,train_accuracy,val_accuracy
1,0.5043,0.5698
2,0.6551,0.6464
3,0.7062,0.6112
4,0.7397,0.5876
5,0.7626,0.585
6,0.7853,0.6928
7,0.8016,0.673
8,0.8182,0.7316
9,0.8335,0.749
10,0.8458,0.7262
11,0.862,0.7432
12,0.872,0.7396
13,0.8833,0.7382
14,0.8932,0.7448
15,0.9348,0.7896
16,0.9556,0.7906
17,0.9644,0.7898
18,0.9682,0.7866
19,0.9739,0.7836
20,0.9752,0.7874
21,0.9772,0.792
22,0.9777,0.7928
23,0.9784,0.7826
24,0.9796,0.7742
25,0.9787,0.7698
26,0.983,0.7684
27,0.9828,0.7748
28,0.9908,0.7994
29,0.9944,0.7946
30,0.9948,0.7974
31,0.9949,0.798
32,0.996,0.7956
33,0.9953,0.7924
34,0.9973,0.7972
35,0.9974,0.7916
36,0.9978,0.7962
37,0.9985,0.7996
38,0.9983,0.7966
39,0.9985,0.7926
40,0.9987,0.7984
41,0.9986,0.7948
42,0.9988,0.7954
43,0.9992,0.7938
44,0.9992,0.7938
45,0.9991,0.7992
46,0.9993,0.8004
47,0.9993,0.7984
48,0.9995,0.796
49,0.9992,0.7972
50,0.9995,0.7968

test_loss,test_accuracy
1.1964,0.7845
