Accuracy on the validation data,0.778

Number of Type I results,48
Number of Type II results,872
Number of Type III results,857
Number of Type IV results,6003

Ratio of Type IV results to correct results,0.7715938303341903

Details of Type IV results
Input index,rp,r1,r2
0,3,7,4
3,0,6,8
6,1,3,6
9,1,7,0
14,9,7,0
16,5,7,7
21,0,6,7
22,4,6,8
23,9,7,0
25,2,6,6
27,0,6,3
28,9,7,6
29,6,7,8
31,5,6,8
34,9,7,4
36,4,6,6
37,1,6,0
39,5,2,7
41,6,7,7
43,6,0,2
44,0,6,6
45,9,7,0
46,3,7,7
47,9,3,6
48,7,6,6
51,8,7,1
53,3,7,7
54,8,7,9
56,7,6,6
59,6,0,7
60,7,6,6
63,3,6,4
64,6,0,7
65,2,6,5
66,1,7,8
67,2,6,8
69,7,6,4
70,2,0,3
72,8,7,7
73,8,7,7
75,2,6,7
77,3,0,9
81,1,7,9
82,1,7,0
84,2,6,4
85,5,9,6
86,2,7,6
88,8,7,0
89,9,7,0
90,0,6,8
94,4,6,6
95,6,7,9
97,0,6,4
98,0,6,9
99,7,6,6
100,4,6,6
101,5,2,8
102,6,7,8
103,3,6,5
104,1,6,0
105,1,7,0
106,3,6,4
110,4,6,6
111,0,6,3
113,2,7,6
114,1,6,0
117,4,6,6
121,3,6,7
122,1,7,0
123,2,6,7
125,0,7,9
126,8,6,1
127,3,7,5
130,4,6,3
131,1,6,5
132,8,7,5
133,9,7,6
134,1,3,0
135,2,6,6
136,9,7,0
138,2,6,3
141,5,2,2
142,6,7,7
143,3,6,8
144,8,6,0
146,6,9,7
148,5,6,2
149,2,7,6
150,8,6,5
152,6,7,7
154,0,6,8
155,5,0,7
156,2,6,8
157,9,7,5
158,5,7,8
159,4,6,6
161,1,7,0
169,0,6,6
172,9,6,0
176,3,9,7
177,7,6,6
178,5,6,7
180,0,6,6
181,5,7,7
183,2,6,7
184,3,0,9
185,8,7,7
187,3,7,5
190,5,7,6
191,8,7,5
192,0,6,7
197,8,7,6
198,7,6,8
199,8,7,7
201,1,6,4
203,7,6,6
204,1,0,7
205,3,6,4
207,5,2,9
209,9,7,0
212,5,0,9
215,0,6,7
216,7,6,6
217,9,7,0
218,8,6,4
224,3,2,5
227,4,0,8
230,5,0,7
231,1,6,0
232,5,7,0
235,0,6,8
236,4,6,6
239,5,6,7
240,1,7,0
241,1,9,4
242,8,7,6
243,9,7,4
246,1,6,6
248,2,6,4
249,2,6,0
250,5,6,7
251,3,7,7
252,9,7,0
255,0,9,8
256,3,9,7
257,0,6,1
260,8,7,7
261,1,7,0
264,0,7,8
267,4,6,6
268,7,6,6
269,0,6,5
270,2,6,8
271,3,4,7
272,6,7,4
273,3,6,4
276,0,6,4
278,4,7,6
280,9,7,0
283,1,6,7
285,9,7,0
286,1,7,0
288,7,6,6
290,1,7,0
291,2,6,7
294,3,7,7
296,6,0,8
297,0,6,8
298,0,6,9
300,6,7,2
302,3,0,4
305,1,7,0
311,6,7,7
314,4,6,6
316,7,6,6
317,7,6,6
318,5,7,7
319,5,0,7
320,3,0,5
323,3,6,4
325,1,6,0
326,7,8,6
327,5,6,6
328,4,2,8
330,1,7,0
331,9,7,6
332,3,7,9
333,6,7,0
334,6,9,7
335,9,7,6
336,3,7,9
337,8,7,7
338,0,6,8
340,2,6,5
341,6,7,7
345,5,8,7
346,4,6,7
347,6,0,8
350,9,1,0
351,1,7,0
353,2,6,4
354,2,7,8
357,2,6,7
358,8,7,5
359,0,6,4
360,9,7,6
361,5,0,7
363,1,6,6
364,9,7,0
366,1,7,0
369,1,0,8
371,7,8,6
372,9,7,0
373,4,6,6
374,2,6,9
375,7,6,6
379,6,2,0
381,9,7,6
382,0,6,9
386,7,6,3
387,2,6,5
389,5,7,7
390,1,7,0
394,9,7,6
395,6,7,7
396,2,6,5
397,3,6,6
398,0,6,8
401,8,7,0
402,7,6,4
403,8,7,4
404,8,7,7
405,4,6,6
406,0,6,9
409,2,6,5
410,7,6,8
414,1,0,0
415,9,7,0
417,7,4,5
419,7,6,3
420,4,6,8
423,0,6,2
424,2,6,7
425,9,7,5
427,4,7,8
432,3,7,7
435,7,6,8
438,3,2,8
440,1,6,7
441,4,6,6
443,9,7,0
444,5,7,7
445,7,6,6
446,5,6,2
447,0,6,6
448,2,6,6
451,9,7,7
452,7,6,4
453,3,6,8
454,9,7,0
455,4,6,9
458,4,0,7
460,5,7,9
462,1,6,0
463,4,6,7
464,3,7,7
465,4,6,6
466,4,6,6
467,3,6,8
470,3,0,6
471,7,8,5
472,8,7,9
475,7,6,6
477,0,6,6
478,5,6,2
479,4,6,6
481,6,7,9
482,8,7,3
484,5,2,8
485,9,6,0
486,9,7,0
489,0,6,8
490,1,5,8
491,0,6,6
492,8,7,3
493,1,7,0
494,1,7,0
497,2,6,9
498,2,6,8
499,0,6,7
500,4,9,5
501,6,0,7
502,5,0,7
503,4,6,6
504,9,7,0
505,4,6,5
506,7,6,6
507,9,7,6
509,4,6,6
510,5,0,7
512,6,7,7
513,1,6,0
515,3,7,8
521,7,6,6
522,0,6,8
523,7,6,6
524,0,6,8
525,5,6,7
527,0,6,6
528,4,6,6
530,9,7,0
533,5,0,6
535,6,9,5
537,2,6,9
540,1,7,0
543,7,6,3
545,9,7,6
546,1,6,0
547,6,7,7
550,5,6,7
551,5,7,7
552,8,0,7
553,5,3,7
554,9,7,0
555,4,6,9
557,4,6,6
558,3,7,7
559,2,6,8
560,0,6,8
561,7,6,6
562,6,0,8
564,2,6,3
566,9,7,0
568,9,7,8
569,2,6,6
570,6,0,9
571,7,6,5
572,1,7,0
573,3,6,4
575,6,7,8
576,8,7,0
577,9,7,8
578,7,6,6
580,4,6,7
581,0,6,6
583,4,2,6
585,9,7,0
586,3,9,6
587,4,8,5
590,6,7,7
591,9,7,0
593,6,7,4
594,1,7,0
595,4,6,8
596,7,6,6
597,3,7,5
599,3,7,7
601,5,2,3
602,0,6,6
603,2,6,9
604,1,0,0
605,6,7,7
608,3,7,9
609,9,7,6
611,9,6,0
612,8,6,7
613,8,7,6
614,5,7,7
616,6,0,7
617,6,7,8
619,1,7,0
620,7,6,6
621,7,6,4
622,1,0,0
623,2,6,1
624,7,6,6
625,9,7,0
626,9,7,6
627,4,6,3
628,4,6,6
629,1,7,6
631,5,6,9
632,6,9,7
633,8,7,7
634,7,6,8
635,6,7,8
638,0,6,6
640,5,6,6
641,3,7,7
643,7,6,6
645,1,6,6
647,4,6,8
648,4,6,2
650,3,9,5
652,5,6,8
653,6,7,5
654,9,7,0
656,1,0,5
657,1,7,0
658,4,6,6
659,1,6,0
662,7,6,6
664,3,0,4
666,9,7,0
667,0,6,7
668,1,0,0
670,6,0,7
673,3,7,9
680,9,7,6
682,4,6,7
686,9,7,0
689,0,6,1
690,3,6,8
691,2,7,5
692,2,6,8
693,7,6,6
695,3,7,7
696,8,7,0
697,2,6,7
698,7,6,6
699,5,6,7
700,7,0,6
701,2,6,9
703,8,7,4
704,7,6,6
705,4,6,8
706,2,7,7
708,8,7,3
710,6,0,8
714,4,0,6
715,3,2,5
716,3,7,7
717,8,7,5
718,4,8,5
722,8,7,3
723,1,5,7
724,8,6,7
726,1,7,0
728,6,9,5
729,5,6,8
732,7,6,3
733,9,7,0
737,4,6,7
738,1,7,0
743,7,6,6
745,7,6,6
747,6,9,8
748,2,6,9
750,9,7,6
752,9,5,5
753,1,0,0
754,2,6,7
756,6,9,7
758,2,7,6
760,3,6,6
762,6,7,0
763,0,6,4
764,1,6,0
765,2,6,9
768,5,6,7
771,1,5,5
772,6,7,0
773,4,7,8
779,5,0,8
780,9,7,0
781,1,6,0
782,7,6,5
783,6,0,9
784,7,6,6
785,0,6,1
786,3,7,8
787,9,1,7
788,6,2,2
791,0,6,6
794,7,6,6
797,4,6,7
799,2,6,5
800,7,6,6
801,1,7,0
803,7,6,6
804,4,6,6
807,4,6,3
808,7,6,8
810,5,7,2
813,2,6,5
815,8,7,7
816,9,7,0
818,8,7,2
819,3,6,4
820,6,7,7
821,2,6,7
822,0,6,6
824,7,6,6
826,7,9,6
827,6,7,0
828,5,6,9
829,3,0,2
830,1,0,0
831,3,9,7
832,2,6,5
833,2,6,7
834,5,0,2
836,1,6,0
837,2,6,7
838,9,7,7
839,2,6,4
841,0,6,6
842,7,6,5
844,1,7,6
846,2,7,5
847,0,6,6
848,2,6,5
850,7,6,9
851,9,7,0
852,8,7,6
854,0,6,8
856,7,6,3
857,0,6,6
858,7,6,6
859,8,7,9
860,4,6,6
862,3,6,9
863,3,0,7
864,0,6,8
865,1,6,0
866,3,6,8
869,1,7,7
870,3,0,8
871,1,7,8
872,4,6,3
873,2,6,8
874,3,0,5
876,4,6,3
879,7,6,6
883,0,7,9
884,9,7,0
887,1,7,0
890,4,7,7
891,6,0,2
892,7,2,6
895,1,7,0
896,3,0,5
897,7,6,6
901,6,9,7
903,5,0,6
904,8,6,3
905,7,6,5
906,1,7,6
909,8,7,7
911,3,7,8
912,0,6,5
913,4,6,8
914,0,6,6
915,1,7,0
918,8,7,6
919,0,6,6
921,9,7,0
922,9,7,6
924,5,6,7
928,0,6,9
