epoch,train_accuracy,val_accuracy
1,0.4262,0.4884
2,0.5486,0.3556
3,0.6093,0.6024
4,0.6394,0.478
5,0.6591,0.4792
6,0.6747,0.653
7,0.6896,0.6642
8,0.6972,0.6758
9,0.7052,0.6438
10,0.7082,0.6476
11,0.7212,0.6826
12,0.7295,0.5834
13,0.7308,0.6292
14,0.7412,0.6796
15,0.7466,0.6838
16,0.7491,0.6528
17,0.7534,0.5856
18,0.76,0.6556
19,0.7622,0.714
20,0.7634,0.6932
21,0.7678,0.6178
22,0.7716,0.6898
23,0.7758,0.713
24,0.7804,0.6872
25,0.81,0.7392
26,0.8273,0.7376
27,0.8371,0.735
28,0.8466,0.7386
29,0.8521,0.751
30,0.8624,0.7412
31,0.8688,0.7526
32,0.8756,0.7456
33,0.8816,0.7572
34,0.8862,0.7514
35,0.8901,0.7416
36,0.8949,0.74
37,0.8992,0.7488
38,0.9049,0.7476
39,0.9242,0.7502
40,0.934,0.7498
41,0.9375,0.7548
42,0.9436,0.7574
43,0.9458,0.7634
44,0.9504,0.7604
45,0.951,0.752
46,0.9555,0.752
47,0.9564,0.7534
48,0.9574,0.7516
49,0.9649,0.7614
50,0.967,0.761

test_loss,test_accuracy
1.0732,0.7463
