Accuracy on the validation data,0.7663

Number of Type I results,38
Number of Type II results,481
Number of Type III results,951
Number of Type IV results,6193

Ratio of Type IV results to correct results,0.8081691243638262

Details of Type IV results
Input index,rp,r1,r2
1,8,3,5
2,8,3,3
3,0,6,5
4,6,5,9
5,6,5,9
6,1,0,8
7,6,8,5
8,3,8,1
12,5,1,3
13,7,5,3
14,9,7,3
15,8,2,9
16,5,2,3
17,7,6,9
18,8,3,0
19,6,4,9
22,4,3,5
23,9,4,3
25,2,5,5
27,0,1,9
28,9,7,3
29,6,1,9
30,6,4,9
33,5,9,0
34,9,6,4
38,9,3,3
39,5,2,2
40,4,6,9
41,6,1,9
42,5,8,9
43,6,2,9
44,0,3,4
45,9,3,3
46,3,5,9
47,9,8,5
51,8,7,9
53,3,5,9
54,8,3,9
62,6,1,9
63,3,5,0
64,6,9,9
66,1,4,5
68,3,2,1
71,6,5,9
72,8,3,0
73,8,3,6
74,0,4,4
75,2,4,9
76,9,6,4
77,3,5,9
78,3,0,9
79,8,9,4
80,8,1,2
81,1,0,2
82,1,9,2
83,7,8,3
86,2,5,9
88,8,6,4
89,9,4,4
91,3,5,9
93,6,1,5
94,4,7,1
95,6,4,9
96,6,4,9
97,0,3,4
99,7,0,9
101,5,8,6
102,6,8,9
103,3,1,9
104,1,3,0
105,1,9,2
107,6,5,9
108,8,0,2
110,4,1,6
111,0,6,4
113,2,8,9
114,1,4,5
115,3,4,9
116,0,8,5
117,4,5,3
120,8,3,1
121,3,1,8
122,1,9,5
123,2,5,6
124,8,7,0
126,8,3,5
127,3,8,2
129,2,6,9
130,4,5,0
131,1,4,5
132,8,0,9
133,9,0,2
134,1,0,4
135,2,8,9
137,7,2,3
141,5,7,9
142,6,5,9
144,8,7,6
146,6,8,9
148,5,7,0
150,8,4,9
152,6,2,9
155,5,2,9
156,2,9,5
157,9,4,3
159,4,3,5
160,2,8,9
161,1,6,0
163,6,5,7
165,4,1,5
166,8,6,4
169,0,1,9
170,9,7,3
173,8,6,9
174,9,4,4
175,9,4,3
176,3,8,9
180,0,1,9
181,5,8,9
182,2,5,9
183,2,8,9
185,8,2,3
186,6,4,9
187,3,8,9
190,5,4,3
191,8,9,9
192,0,4,1
193,1,6,6
194,7,8,9
196,8,2,2
197,8,5,3
198,7,5,0
202,8,2,1
203,7,6,1
205,3,8,0
206,0,8,2
209,9,1,0
212,5,6,0
214,8,4,9
216,7,5,8
218,8,1,6
220,7,5,3
221,6,5,9
222,9,3,2
224,3,5,5
225,9,4,4
230,5,0,0
231,1,3,4
232,5,6,0
233,8,9,9
234,8,3,0
235,0,1,5
240,1,0,5
241,1,4,5
242,8,7,9
243,9,8,3
248,2,4,9
249,2,3,5
250,5,7,1
251,3,8,2
252,9,3,2
254,4,7,6
256,3,9,9
260,8,3,9
261,1,7,2
264,0,9,9
265,8,1,9
266,2,8,9
269,0,9,1
271,3,2,0
