Epoch,NN1,NN1p,NN2,NN2p,Para
0,0.1936,0.5278,0.2631,0.4611,0.9589
1,0.1997,0.5586,0.3164,0.4893,0.9635
2,0.2399,0.5578,0.279,0.4428,0.9697
3,0.2135,0.576,0.3703,0.4347,0.9691
4,0.2266,0.5953,0.3614,0.411,0.973
5,0.2342,0.5939,0.3638,0.4779,0.972
6,0.2221,0.5822,0.3805,0.4584,0.9724
7,0.2281,0.5991,0.398,0.4936,0.9755
8,0.211,0.6182,0.408,0.4834,0.9724
9,0.2387,0.625,0.3861,0.4916,0.9735
10,0.2127,0.6225,0.4109,0.54,0.9749
11,0.2245,0.6036,0.3931,0.5138,0.9771
12,0.2166,0.6246,0.3982,0.5339,0.9775
13,0.2181,0.6172,0.3945,0.5377,0.9735
14,0.2313,0.6295,0.4158,0.512,0.9754
15,0.2098,0.5857,0.3999,0.517,0.9736
16,0.2265,0.6208,0.4028,0.509,0.9758
17,0.22,0.6283,0.3982,0.531,0.9787
18,0.2154,0.6215,0.4202,0.5434,0.9762
19,0.2055,0.628,0.3926,0.5452,0.9746
20,0.2112,0.6227,0.3983,0.5411,0.9776
21,0.2179,0.6205,0.3814,0.5496,0.9747
22,0.2085,0.5975,0.4032,0.5295,0.9778
23,0.2071,0.622,0.3888,0.5457,0.9765
24,0.218,0.6268,0.3964,0.5192,0.9744
25,0.2092,0.6395,0.398,0.5431,0.9757
26,0.2237,0.6368,0.395,0.5588,0.9771
27,0.2139,0.6334,0.4035,0.5453,0.9769
28,0.2083,0.6116,0.3741,0.5282,0.9754
29,0.2169,0.6065,0.3897,0.5358,0.9769
30,0.2105,0.6204,0.4187,0.5369,0.9765
31,0.2134,0.6225,0.3725,0.5279,0.9759
32,0.2088,0.6332,0.3885,0.5587,0.9777
33,0.2173,0.5955,0.3928,0.555,0.9742
34,0.2094,0.6134,0.3559,0.5237,0.9769
35,0.2023,0.6394,0.3807,0.5265,0.975
36,0.2104,0.6327,0.3849,0.5616,0.9766
37,0.2106,0.636,0.3851,0.5551,0.9775
38,0.2079,0.6441,0.3929,0.5674,0.9762
39,0.2091,0.6363,0.3745,0.5878,0.9779
max(NN1)=,0,at Epoch,0
max(NN2)=,0,at Epoch,0
max(Para)=,0.9787,at Epoch,17
